Time	LH_RectusFemoris	LH_RectusFemoris	
4.62456	0.04601244	0.002511121	
4.6251	0.04601379	0.002490425	
4.62564	0.04601512	0.002476628	
4.62618	0.04601647	0.002483527	
4.62672	0.04601781	0.002483527	
4.62726	0.04601914	0.002476628	
4.6278	0.04602047	0.002462831	
4.62834	0.04602181	0.002469729	
4.62888	0.04602314	0.002462831	
4.62942	0.04602446	0.002449033	
4.62996	0.04602579	0.002462831	
4.6305	0.04602711	0.002435236	
4.63104	0.04602842	0.002442135	
4.63158	0.04602974	0.002442135	
4.63212	0.04603105	0.002428337	
4.63266	0.04603237	0.002428337	
4.6332	0.04603368	0.002428337	
4.63374	0.04603498	0.00241454	
4.63428	0.04603628	0.00241454	
4.63482	0.04603758	0.002407641	
4.63536	0.04603888	0.002407641	
4.6359	0.04604018	0.002400742	
4.63644	0.04604147	0.002386945	
4.63698	0.04604277	0.002400742	
4.63752	0.04604406	0.002386945	
4.63806	0.04604534	0.002380047	
4.6386	0.04604663	0.002380047	
4.63914	0.04604791	0.002373148	
4.63968	0.04604919	0.002366249	
4.64022	0.04605046	0.00235935	
4.64076	0.04605174	0.002366249	
4.6413	0.046053	0.002345553	
4.64184	0.04605427	0.002345553	
4.64238	0.04605554	0.002352452	
4.64292	0.0460568	0.002338654	
4.64346	0.04605807	0.002338654	
4.644	0.04605933	0.002331756	
4.64454	0.04606058	0.002324857	
4.64508	0.04606184	0.002324857	
4.64562	0.04606309	0.002317958	
4.64616	0.04606434	0.00231106	
4.6467	0.04606558	0.002304161	
4.64724	0.04606683	0.00231106	
4.64778	0.04606807	0.002297262	
4.64832	0.04606931	0.002290363	
4.64886	0.04607054	0.002290363	
4.6494	0.04607178	0.002290363	
4.64994	0.04607302	0.002290363	
4.65048	0.04607425	0.002276566	
4.65102	0.04607547	0.002269667	
4.65156	0.0460767	0.002269667	
4.6521	0.04607792	0.002262769	
4.65264	0.04607914	0.002262769	
4.65318	0.04608036	0.00225587	
4.65372	0.04608157	0.002242073	
4.65426	0.04608278	0.002248971	
4.6548	0.04608399	0.002242073	
4.65534	0.0460852	0.002235174	
4.65588	0.04608641	0.002235174	
4.65642	0.04608761	0.002228275	
4.65696	0.04608881	0.002221377	
4.6575	0.04609001	0.002221377	
4.65804	0.04609121	0.002214478	
4.65858	0.0460924	0.002207579	
4.65912	0.04609359	0.002214478	
4.65966	0.04609479	0.002207579	
4.6602	0.04609596	0.002179984	
4.66074	0.04609716	0.002207579	
4.66128	0.04609833	0.002179984	
4.66182	0.04609952	0.002193782	
4.66236	0.04610069	0.002173086	
4.6629	0.04610186	0.002173086	
4.66344	0.04610304	0.002173086	
4.66398	0.04610421	0.002166187	
4.66452	0.04610537	0.002159288	
4.66506	0.04610654	0.002166187	
4.6656	0.04610771	0.00215239	
4.66614	0.04610887	0.00215239	
4.66668	0.04611002	0.002138593	
4.66722	0.04611118	0.002145491	
4.66776	0.04611234	0.002138593	
4.6683	0.04611348	0.002124795	
4.66884	0.04611463	0.002124795	
