TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
227	0.12258	0	0.37	0.323502	0	0.0748379	0.397265	0.0775727	0.0193232	0	0.182276	0.174252	0.0767443
228	0.12312	0	0.37	0.320956	0	0.0728343	0.389055	0.0866609	0.0246812	0	0.180712	0.172533	0.0765088
229	0.12366	0	0.37	0.318355	0	0.070929	0.381007	0.0952297	0.0295877	0	0.179169	0.170842	0.0763433
230	0.1242	0	0.37	0.315683	0	0.0691244	0.373147	0.103241	0.033965	0	0.177658	0.16919	0.0762578
231	0.12474	0	0.37	0.312928	0	0.0674274	0.365494	0.110667	0.0377586	0	0.176188	0.167585	0.0762564
232	0.12528	0	0.37	0.310083	0	0.0658413	0.358066	0.117483	0.0409305	0	0.174765	0.166033	0.0763393
233	0.12582	0	0.37	0.307141	0	0.0643689	0.350881	0.123669	0.0434561	0	0.173396	0.164543	0.0765069
234	0.12636	0	0.37	0.304101	0	0.0630146	0.343952	0.129208	0.0453308	0	0.172086	0.163118	0.0767594
235	0.1269	0	0.37	0.300962	0	0.0617811	0.337294	0.134094	0.0465647	0	0.170836	0.16176	0.0770972
236	0.12744	0	0.37	0.297729	0	0.0606706	0.330913	0.138329	0.0471805	0	0.169649	0.160475	0.0775187
237	0.12798	0.00107909	0.37	0.294408	0	0.0596846	0.324813	0.141914	0.047214	0	0.168524	0.159258	0.0780152
238	0.12852	0.00430604	0.37	0.291007	0	0.0588271	0.319005	0.144856	0.0467108	0	0.16746	0.158105	0.0785785
239	0.12906	0.00676329	0.37	0.287535	0	0.0580979	0.313486	0.147161	0.0457215	0	0.166452	0.157017	0.0792095
240	0.1296	0.00847251	0.37	0.283999	0	0.0574979	0.308261	0.148837	0.0442805	0	0.165501	0.155992	0.0798967
241	0.13014	0.00945237	0.37	0.280403	0	0.0570282	0.303334	0.149897	0.0424233	0	0.164606	0.155028	0.0806325
242	0.13068	0.00974564	0.37	0.27676	0	0.0566887	0.298705	0.15036	0.0402058	0	0.163765	0.154121	0.0814097
243	0.13122	0.0094053	0.37	0.27308	0	0.0564787	0.294366	0.150255	0.0376929	0	0.162969	0.153265	0.0822194
244	0.13176	0.00848492	0.37	0.269378	0	0.0563973	0.290313	0.149614	0.0349613	0	0.16221	0.152451	0.0830479
245	0.1323	0.00705844	0.37	0.265672	0	0.0564448	0.286536	0.148473	0.0320961	0.00396711	0.16148	0.151668	0.0838746
246	0.13284	0.00521003	0.37	0.261977	0	0.0566181	0.283022	0.146867	0.0291846	0.0114982	0.160773	0.150908	0.0847015
247	0.13338	0.00302093	0.37	0.258313	0	0.0569181	0.279763	0.144824	0.0263199	0.018661	0.160074	0.150159	0.0855323
248	0.13392	0.000575002	0.37	0.254699	0	0.0573469	0.276747	0.14237	0.023598	0.0252906	0.159371	0.149408	0.0863561
249	0.13446	0	0.37	0.251154	0	0.0579071	0.273961	0.139531	0.0211093	0.0311898	0.158649	0.148637	0.0871533
250	0.135	0	0.37	0.247695	0	0.0586023	0.271392	0.136336	0.0189369	0.0361745	0.157895	0.14783	0.0878998
251	0.13554	0	0.37	0.244333	0	0.0594336	0.269028	0.132812	0.0171359	0.0400898	0.157095	0.146979	0.088576
252	0.13608	0	0.37	0.241082	0	0.0604013	0.266864	0.12898	0.0157328	0.0428161	0.156241	0.146068	0.0891667
253	0.13662	0	0.37	0.237944	0	0.0615033	0.26489	0.124865	0.0147478	0.0442644	0.155328	0.145095	0.0896608
254	0.13716	0	0.37	0.234922	0	0.0627346	0.263093	0.120495	0.014192	0.044372	0.154346	0.144051	0.0900441
255	0.1377	0	0.37	0.232016	0	0.0640893	0.261467	0.115899	0.0140632	0.0431338	0.153294	0.142932	0.0902975
256	0.13824	0	0.37	0.229228	0	0.0655625	0.260001	0.111109	0.0143547	0.0405752	0.152168	0.141739	0.0904098
