TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
92	0.04968	0.0428688	0.00678023	0.0283403	0.0322163	0.0145796	0.0455682	0.034155	0.0403657	0.0467739	0.0363375	0.0412264	0.0399868
93	0.05022	0.042872	0.00678033	0.0283426	0.0322195	0.0145787	0.0455671	0.0341588	0.040369	0.0467862	0.0363375	0.0412264	0.0399862
94	0.05076	0.0428757	0.00678044	0.0283453	0.0322229	0.0145777	0.0455657	0.034163	0.0403727	0.0467991	0.0363375	0.0412264	0.0399857
95	0.0513	0.0428798	0.00678056	0.0283482	0.0322268	0.0145765	0.0455643	0.0341676	0.0403769	0.0468127	0.0363376	0.0412265	0.0399852
96	0.05184	0.0428843	0.00678069	0.0283515	0.032231	0.0145753	0.0455626	0.0341726	0.0403815	0.0468268	0.0363376	0.0412265	0.0399847
97	0.05238	0.0428892	0.00678083	0.028355	0.0322355	0.0145739	0.0455609	0.034178	0.0403865	0.0468415	0.0363376	0.0412265	0.0399843
98	0.05292	0.0428944	0.00678099	0.0283588	0.0322402	0.0145725	0.045559	0.0341838	0.0403918	0.0468568	0.0363377	0.0412265	0.0399839
99	0.05346	0.0429	0.00678115	0.0283629	0.0322453	0.0145709	0.0455569	0.0341899	0.0403976	0.0468725	0.0363377	0.0412265	0.0399835
100	0.054	0.0429059	0.00678133	0.0283672	0.0322505	0.0145693	0.0455548	0.0341961	0.0404036	0.0468886	0.0363377	0.0412266	0.0399833
101	0.05454	0.042912	0.00678151	0.0283716	0.0322559	0.0145676	0.0455526	0.0342025	0.0404098	0.0469047	0.0363377	0.0412266	0.0399832
102	0.05508	0.0429183	0.00678169	0.0283761	0.0322612	0.0145659	0.0455504	0.0342089	0.0404162	0.0469203	0.0363378	0.0412266	0.0399831
103	0.05562	0.0429245	0.00678188	0.0283807	0.0322666	0.0145641	0.0455481	0.0342153	0.0404226	0.0469352	0.0363378	0.0412266	0.0399832
104	0.05616	0.0429308	0.00678206	0.0283852	0.0322717	0.0145624	0.0455459	0.0342215	0.0404289	0.046949	0.0363378	0.0412266	0.0399834
105	0.0567	0.0429368	0.00678224	0.0283896	0.0322767	0.0145607	0.0455437	0.0342275	0.0404352	0.0469613	0.0363379	0.0412267	0.0399837
106	0.05724	0.0429427	0.00678241	0.0283938	0.0322814	0.0145591	0.0455416	0.0342331	0.0404411	0.0469718	0.0363379	0.0412267	0.0399842
107	0.05778	0.0429482	0.00678258	0.0283978	0.0322858	0.0145576	0.0455396	0.0342383	0.0404467	0.0469803	0.0363379	0.0412267	0.0399847
108	0.05832	0.0429532	0.00678273	0.0284015	0.0322897	0.0145562	0.0455378	0.034243	0.0404519	0.0469866	0.0363379	0.0412267	0.0399854
109	0.05886	0.0429578	0.00678287	0.0284048	0.0322931	0.0145549	0.0455362	0.0342471	0.0404565	0.0469903	0.036338	0.0412267	0.0399861
110	0.0594	0.0429618	0.00678298	0.0284078	0.032296	0.0145538	0.0455347	0.0342507	0.0404606	0.0469915	0.036338	0.0412267	0.0399868
111	0.05994	0.0429652	0.00678309	0.0284102	0.0322984	0.0145529	0.0455335	0.0342535	0.0404641	0.04699	0.036338	0.0412268	0.0399876
112	0.06048	0.0429679	0.00678317	0.0284123	0.0323003	0.0145521	0.0455325	0.0342558	0.0404669	0.0469859	0.036338	0.0412268	0.0399884
113	0.06102	0.0429701	0.00678324	0.0284139	0.0323016	0.0145515	0.0455317	0.0342574	0.0404691	0.0469791	0.0363381	0.0412268	0.0399892
114	0.06156	0.0429716	0.00678329	0.028415	0.0323024	0.014551	0.0455311	0.0342585	0.0404706	0.0469699	0.0363381	0.0412268	0.0399899
115	0.0621	0.0429726	0.00678332	0.0284157	0.0323028	0.0145507	0.0455307	0.034259	0.0404716	0.0469583	0.0363381	0.0412268	0.0399906
116	0.06264	0.042973	0.00678333	0.0284161	0.0323028	0.0145505	0.0455305	0.0342591	0.0404721	0.0469447	0.0363381	0.0412268	0.0399912
117	0.06318	0.042973	0.00678334	0.0284161	0.0323025	0.0145505	0.0455305	0.0342588	0.040472	0.0469293	0.0363382	0.0412269	0.0399917
118	0.06372	0.0429727	0.00678333	0.0284158	0.032302	0.0145506	0.0455306	0.0342582	0.0404716	0.0469124	0.0363382	0.0412269	0.039992
119	0.06426	0.042972	0.00678331	0.0284154	0.0323013	0.0145507	0.0455308	0.0342574	0.040471	0.0468944	0.0363382	0.0412269	0.0399923
120	0.0648	0.0429712	0.00678329	0.0284148	0.0323005	0.0145509	0.0455311	0.0342565	0.0404701	0.0468757	0.0363382	0.0412269	0.0399924
121	0.06534	0.0429702	0.00678327	0.0284141	0.0322997	0.0145511	0.0455314	0.0342557	0.0404691	0.0468568	0.0363383	0.0412269	0.0399924
122	0.06588	0.0429693	0.00678324	0.0284134	0.0322989	0.0145514	0.0455316	0.0342548	0.0404681	0.0468379	0.0363383	0.0412269	0.0399924
123	0.06642	0.0429684	0.00678322	0.0284128	0.0322982	0.0145516	0.0455319	0.034254	0.0404672	0.0468191	0.0363383	0.0412269	0.0399923
124	0.06696	0.0429675	0.0067832	0.0284122	0.0322975	0.0145518	0.0455322	0.0342532	0.0404663	0.0468005	0.0363383	0.041227	0.0399923
125	0.0675	0.0429667	0.00678318	0.0284116	0.0322969	0.014552	0.0455325	0.0342526	0.0404654	0.0467821	0.0363384	0.041227	0.0399922
126	0.06804	0.042966	0.00678316	0.0284111	0.0322964	0.0145521	0.0455327	0.034252	0.0404647	0.0467639	0.0363384	0.041227	0.0399921
127	0.06858	0.0429653	0.00678314	0.0284107	0.0322959	0.0145522	0.0455329	0.0342516	0.040464	0.0467459	0.0363384	0.041227	0.0399919
128	0.06912	0.0429649	0.00678313	0.0284103	0.0322957	0.0145523	0.045533	0.0342513	0.0404635	0.0467282	0.0363384	0.041227	0.0399918
129	0.06966	0.0429645	0.00678312	0.0284101	0.0322955	0.0145524	0.0455331	0.0342512	0.0404631	0.0467107	0.0363384	0.041227	0.0399916
130	0.0702	0.0429643	0.00678312	0.02841	0.0322954	0.0145524	0.0455332	0.0342512	0.0404629	0.0466936	0.0363385	0.0412271	0.0399914
131	0.07074	0.0429642	0.00678312	0.0284099	0.0322955	0.0145524	0.0455332	0.0342514	0.0404628	0.0466767	0.0363385	0.0412271	0.0399912
132	0.07128	0.0429643	0.00678313	0.02841	0.0322958	0.0145524	0.0455331	0.0342517	0.0404629	0.0466602	0.0363385	0.0412271	0.039991
133	0.07182	0.0429646	0.00678314	0.0284102	0.0322961	0.0145523	0.045533	0.0342522	0.0404632	0.046644	0.0363385	0.0412271	0.0399909
134	0.07236	0.042965	0.00678316	0.0284106	0.0322966	0.0145521	0.0455328	0.0342528	0.0404636	0.0466282	0.0363385	0.0412271	0.0399907
135	0.0729	0.0429656	0.00678317	0.028411	0.0322973	0.0145519	0.0455326	0.0342537	0.0404642	0.0466127	0.0363386	0.0412271	0.0399905
136	0.07344	0.0429663	0.0067832	0.0284115	0.032298	0.0145517	0.0455323	0.0342546	0.0404649	0.0465976	0.0363386	0.0412271	0.0399903
137	0.07398	0.0429672	0.00678323	0.0284122	0.0322989	0.0145514	0.0455319	0.0342557	0.0404658	0.0465828	0.0363386	0.0412271	0.0399902
138	0.07452	0.0429682	0.00678326	0.028413	0.0322999	0.0145511	0.0455315	0.034257	0.0404669	0.0465683	0.0363386	0.0412272	0.03999
139	0.07506	0.0429694	0.0067833	0.0284138	0.0323011	0.0145508	0.0455311	0.0342584	0.0404681	0.0465542	0.0363387	0.0412272	0.0399899
140	0.0756	0.0429707	0.00678334	0.0284148	0.0323023	0.0145504	0.0455306	0.0342598	0.0404694	0.0465405	0.0363387	0.0412272	0.0399897
141	0.07614	0.0429721	0.00678338	0.0284158	0.0323036	0.01455	0.0455301	0.0342614	0.0404708	0.046527	0.0363387	0.0412272	0.0399896
142	0.07668	0.0429736	0.00678343	0.0284169	0.032305	0.0145495	0.0455295	0.0342631	0.0404723	0.0465139	0.0363387	0.0412272	0.0399895
143	0.07722	0.0429752	0.00678348	0.0284181	0.0323064	0.0145491	0.0455289	0.0342649	0.040474	0.0465011	0.0363387	0.0412272	0.0399894
144	0.07776	0.0429769	0.00678353	0.0284194	0.0323079	0.0145486	0.0455283	0.0342667	0.0404757	0.0464887	0.0363388	0.0412272	0.0399894
145	0.0783	0.0429786	0.00678358	0.0284206	0.0323094	0.0145481	0.0455277	0.0342685	0.0404774	0.0464765	0.0363388	0.0412272	0.0399893
146	0.07884	0.0429804	0.00678364	0.0284219	0.032311	0.0145476	0.045527	0.0342704	0.0404792	0.0464645	0.0363388	0.0412273	0.0399893
147	0.07938	0.0429822	0.0067837	0.0284233	0.0323125	0.0145471	0.0455263	0.0342723	0.0404811	0.0464529	0.0363388	0.0412273	0.0399893
148	0.07992	0.042984	0.00678375	0.0284246	0.0323141	0.0145465	0.0455257	0.0342742	0.0404829	0.0464414	0.0363388	0.0412273	0.0399893
149	0.08046	0.0429858	0.00678381	0.0284259	0.0323156	0.014546	0.045525	0.0342761	0.0404848	0.0464303	0.0363388	0.0412273	0.0399893
150	0.081	0.0429876	0.00678386	0.0284273	0.0323172	0.0145455	0.0455243	0.0342779	0.0404866	0.0464193	0.0363389	0.0412273	0.0399894
151	0.08154	0.0429894	0.00678391	0.0284286	0.0323186	0.014545	0.0455237	0.0342797	0.0404884	0.0464086	0.0363389	0.0412273	0.0399895
152	0.08208	0.0429911	0.00678397	0.0284298	0.0323201	0.0145445	0.0455231	0.0342815	0.0404901	0.0463981	0.0363389	0.0412273	0.0399895
153	0.08262	0.0429927	0.00678402	0.028431	0.0323214	0.014544	0.0455225	0.0342831	0.0404918	0.0463877	0.0363389	0.0412274	0.0399896
154	0.08316	0.0429943	0.00678407	0.0284322	0.0323227	0.0145436	0.0455219	0.0342847	0.0404934	0.0463775	0.036339	0.0412274	0.0399898
155	0.0837	0.0429958	0.00678412	0.0284333	0.032324	0.0145432	0.0455213	0.0342862	0.0404949	0.0463676	0.036339	0.0412274	0.0399899
156	0.08424	0.0429973	0.00678416	0.0284344	0.0323251	0.0145427	0.0455208	0.0342876	0.0404964	0.0463577	0.036339	0.0412274	0.03999
157	0.08478	0.0429986	0.0067842	0.0284354	0.0323262	0.0145424	0.0455203	0.0342889	0.0404977	0.0463481	0.036339	0.0412274	0.0399901
158	0.08532	0.0429998	0.00678424	0.0284363	0.0323271	0.014542	0.0455198	0.0342901	0.040499	0.0463386	0.036339	0.0412274	0.0399903
159	0.08586	0.0430009	0.00678428	0.0284371	0.032328	0.0145417	0.0455194	0.0342912	0.0405001	0.0463293	0.036339	0.0412274	0.0399904
160	0.0864	0.043002	0.00678431	0.0284379	0.0323288	0.0145414	0.045519	0.0342922	0.0405012	0.0463202	0.0363391	0.0412274	0.0399905
161	0.08694	0.0430029	0.00678434	0.0284386	0.0323295	0.0145411	0.0455186	0.0342931	0.0405021	0.0463112	0.0363391	0.0412274	0.0399907
162	0.08748	0.0430037	0.00678437	0.0284392	0.0323302	0.0145408	0.0455183	0.0342939	0.0405029	0.0463024	0.0363391	0.0412275	0.0399908
163	0.08802	0.0430044	0.00678439	0.0284397	0.0323307	0.0145406	0.0455181	0.0342945	0.0405037	0.0462937	0.0363391	0.0412275	0.039991
164	0.08856	0.0430051	0.00678441	0.0284402	0.0323312	0.0145404	0.0455178	0.0342951	0.0405043	0.0462853	0.0363391	0.0412275	0.0399911
165	0.0891	0.0430056	0.00678443	0.0284406	0.0323315	0.0145403	0.0455176	0.0342956	0.0405048	0.046277	0.0363392	0.0412275	0.0399912
166	0.08964	0.043006	0.00678444	0.0284409	0.0323318	0.0145401	0.0455174	0.034296	0.0405052	0.0462689	0.0363392	0.0412275	0.0399913
167	0.09018	0.0430063	0.00678446	0.0284412	0.0323321	0.01454	0.0455173	0.0342963	0.0405056	0.0462611	0.0363392	0.0412275	0.0399914
168	0.09072	0.0430066	0.00678447	0.0284414	0.0323322	0.0145399	0.0455172	0.0342966	0.0405058	0.0462534	0.0363392	0.0412275	0.0399916
169	0.09126	0.0430068	0.00678447	0.0284415	0.0323323	0.0145398	0.0455171	0.0342967	0.040506	0.046246	0.0363392	0.0412275	0.0399916
170	0.0918	0.0430069	0.00678448	0.0284416	0.0323324	0.0145398	0.045517	0.0342969	0.0405061	0.0462387	0.0363392	0.0412276	0.0399917
