TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
244	0.13176	0	9.25115e-006	0	0.0740996	0.13854	0	0	0	0.0421462	0.0365849	0.0291042
245	0.1323	0	1.04672e-005	0	0.0741006	0.138324	0	0	0	0.0420807	0.036539	0.0291098
246	0.13284	0	9.57593e-006	0	0.0740994	0.138115	0	0	0	0.0420155	0.036494	0.0291115
247	0.13338	0	9.18248e-006	0	0.0740978	0.13791	0	0	0	0.0419561	0.0364518	0.0291111
248	0.13392	0	1.07993e-005	0	0.074098	0.137707	0	0	0	0.0418957	0.0364105	0.0291125
249	0.13446	0	1.18329e-005	0	0.0740978	0.137508	0	0	0	0.0418319	0.0363665	0.0291137
250	0.135	0	1.07808e-005	0	0.0740967	0.137314	0	0	0	0.041774	0.0363253	0.0291166
251	0.13554	0	1.06381e-005	0	0.074096	0.137125	0	0	0	0.0417196	0.0362886	0.0291211
252	0.13608	0	1.20835e-005	0	0.074095	0.136943	0	0	0	0.0416628	0.0362526	0.0291216
253	0.13662	0	1.33586e-005	0	0.0740949	0.13676	0	0	0	0.0416084	0.036212	0.0291221
254	0.13716	0	1.40906e-005	0	0.0740935	0.13658	0	0	0	0.041555	0.0361741	0.029126
255	0.1377	0	1.47364e-005	0	0.0740939	0.136408	0	0	0	0.0415004	0.0361424	0.0291297
256	0.13824	0	1.53061e-005	0	0.0740952	0.136239	0	0	0	0.0414504	0.0361095	0.0291295
257	0.13878	0	1.42376e-005	0	0.0740924	0.136075	0	0	0	0.0414025	0.0360738	0.0291292
258	0.13932	0	1.32949e-005	0	0.074092	0.135913	0	0	0	0.0413568	0.0360406	0.0291324
259	0.13986	0	1.40344e-005	0	0.0740938	0.135754	0	0	0	0.0413108	0.0360099	0.0291373
260	0.1404	0	1.46868e-005	0	0.0740924	0.1356	0	0	0	0.0412624	0.0359781	0.02914
261	0.14094	0	1.48695e-005	0	0.0740916	0.135447	0	0	0	0.0412183	0.0359487	0.0291425
262	0.14148	0	1.50307e-005	0	0.0740925	0.135297	0	0	0	0.0411751	0.0359217	0.029143
263	0.14202	0	1.55657e-005	0	0.0740916	0.135152	0	0	0	0.0411305	0.0358935	0.0291434
264	0.14256	0	1.80016e-005	0	0.0740921	0.13501	0	0	0	0.0410903	0.0358695	0.0291473
265	0.1431	0	1.97578e-005	0	0.0740935	0.134871	0	0	0	0.0410497	0.0358442	0.0291491
266	0.14364	0	1.93431e-005	0	0.0740912	0.134736	0	0	0	0.0410076	0.0358159	0.0291507
267	0.14418	0	1.937e-005	0	0.0740908	0.134603	0	0	0	0.0409686	0.0357935	0.029154
268	0.14472	0	1.97866e-005	0	0.0740918	0.134472	0	0	0	0.0409316	0.0357697	0.0291571
269	0.14526	0	1.93685e-005	0	0.0740896	0.134347	0	0	0	0.0408965	0.0357465	0.02916
270	0.1458	0	1.93924e-005	0	0.0740897	0.134223	0	0	0	0.0408598	0.0357273	0.0291626
271	0.14634	0	2.13775e-005	0	0.0740907	0.134099	0	0	0	0.0408238	0.0357067	0.0291651
272	0.14688	0	2.27359e-005	0	0.0740899	0.13398	0	0	0	0.0407897	0.0356848	0.0291673
273	0.14742	0	2.19703e-005	0	0.07409	0.133865	0	0	0	0.0407551	0.0356651	0.0291694
274	0.14796	0	2.09021e-005	0	0.0740906	0.133754	0	0	0	0.0407246	0.0356457	0.0291713
275	0.1485	0	2.03525e-005	0	0.0740916	0.133643	0	0	0	0.0406936	0.035625	0.0291731
276	0.14904	0	2.18317e-005	0	0.0740902	0.133533	0	0	0	0.0406598	0.0356047	0.0291746
277	0.14958	0	2.27438e-005	0	0.0740881	0.133427	0	0	0	0.0406335	0.0355902	0.0291779
278	0.15012	0	2.19772e-005	0	0.0740896	0.133323	0	0	0	0.0406054	0.035576	0.0291791
279	0.15066	0	2.32649e-005	0	0.0740893	0.133221	0	0	0	0.0405722	0.0355566	0.0291819
